algorithm,n,type,domain,sample,time_ms,memory_kb
std_sort,1000,descendente,D7,a,0.016203,3608
mergesort,1000,descendente,D7,a,0.074939,3608
quicksort,1000,descendente,D7,a,0.057689,3608
patiencesort,1000,descendente,D7,a,0.04826,3608
std_sort,1000,descendente,D7,b,0.015156,3608
mergesort,1000,descendente,D7,b,0.081994,3608
quicksort,1000,descendente,D7,b,0.058596,3608
patiencesort,1000,descendente,D7,b,0.051403,3608
std_sort,1000,descendente,D7,c,0.013968,3608
mergesort,1000,descendente,D7,c,0.058736,3608
quicksort,1000,descendente,D7,c,0.057409,3608
patiencesort,1000,descendente,D7,c,0.045397,3608
std_sort,1000,aleatorio,D1,a,0.080108,3608
mergesort,1000,aleatorio,D1,a,0.093028,3608
quicksort,1000,aleatorio,D1,a,0.065301,3608
patiencesort,1000,aleatorio,D1,a,0.094565,3608
std_sort,1000,aleatorio,D1,b,0.038831,3608
mergesort,1000,aleatorio,D1,b,0.092609,3608
quicksort,1000,aleatorio,D1,b,0.066349,3608
patiencesort,1000,aleatorio,D1,b,0.09198,3608
std_sort,1000,aleatorio,D1,c,0.038133,3608
mergesort,1000,aleatorio,D1,c,0.106228,3608
quicksort,1000,aleatorio,D1,c,0.066628,3608
patiencesort,1000,aleatorio,D1,c,0.091352,3608
std_sort,1000,aleatorio,D7,a,0.062507,3608
mergesort,1000,aleatorio,D7,a,0.111396,3608
quicksort,1000,aleatorio,D7,a,0.109301,3608
patiencesort,1000,aleatorio,D7,a,0.194088,3608
std_sort,1000,aleatorio,D7,b,0.066279,3608
mergesort,1000,aleatorio,D7,b,0.124526,3608
quicksort,1000,aleatorio,D7,b,0.115307,3608
patiencesort,1000,aleatorio,D7,b,0.161961,3608
std_sort,1000,aleatorio,D7,c,0.061041,3608
mergesort,1000,aleatorio,D7,c,0.108044,3608
quicksort,1000,aleatorio,D7,c,0.108324,3608
patiencesort,1000,aleatorio,D7,c,0.157142,3608
std_sort,100000,ascendente,D1,a,3.44427,4908
mergesort,100000,ascendente,D1,a,4.06313,4908
quicksort,100000,ascendente,D1,a,4.72027,4908
patiencesort,100000,ascendente,D1,a,5.9693,5532
std_sort,100000,ascendente,D1,b,2.77513,5532
mergesort,100000,ascendente,D1,b,3.14179,5532
quicksort,100000,ascendente,D1,b,3.6246,5532
patiencesort,100000,ascendente,D1,b,5.76823,5768
std_sort,100000,ascendente,D1,c,2.03111,5768
mergesort,100000,ascendente,D1,c,2.88659,5768
quicksort,100000,ascendente,D1,c,3.33372,5768
patiencesort,100000,ascendente,D1,c,5.53091,5780
std_sort,100000,ascendente,D7,a,3.39168,5780
mergesort,100000,ascendente,D7,a,2.81731,5780
quicksort,100000,ascendente,D7,a,4.39439,5780
patiencesort,100000,ascendente,D7,a,26.0741,13724
std_sort,100000,ascendente,D7,b,1.11284,13724
mergesort,100000,ascendente,D7,b,1.62946,13724
quicksort,100000,ascendente,D7,b,2.60856,13724
patiencesort,100000,ascendente,D7,b,17.8017,14020
std_sort,100000,ascendente,D7,c,1.04649,14020
mergesort,100000,ascendente,D7,c,1.48558,14020
quicksort,100000,ascendente,D7,c,2.83826,14020
patiencesort,100000,ascendente,D7,c,21.1227,14020
std_sort,100000,descendente,D1,a,0.78997,14020
mergesort,100000,descendente,D1,a,2.19342,14020
quicksort,100000,descendente,D1,a,2.32368,14020
patiencesort,100000,descendente,D1,a,2.09544,14020
std_sort,100000,descendente,D1,b,1.08414,14020
mergesort,100000,descendente,D1,b,1.79959,14020
quicksort,100000,descendente,D1,b,2.25272,14020
patiencesort,100000,descendente,D1,b,2.10766,14020
std_sort,100000,descendente,D1,c,0.798071,14020
mergesort,100000,descendente,D1,c,1.69986,14020
quicksort,100000,descendente,D1,c,1.67416,14020
patiencesort,100000,descendente,D1,c,1.96616,14020
std_sort,100000,descendente,D7,a,1.05935,14020
mergesort,100000,descendente,D7,a,1.83151,14020
quicksort,100000,descendente,D7,a,2.5355,14020
patiencesort,100000,descendente,D7,a,1.93068,14020
std_sort,100000,descendente,D7,b,0.874199,14020
mergesort,100000,descendente,D7,b,1.97349,14020
quicksort,100000,descendente,D7,b,2.61393,14020
patiencesort,100000,descendente,D7,b,1.86929,14020
std_sort,100000,descendente,D7,c,0.848566,14020
mergesort,100000,descendente,D7,c,1.7352,14020
quicksort,100000,descendente,D7,c,2.53243,14020
patiencesort,100000,descendente,D7,c,1.92747,14020
std_sort,100000,aleatorio,D1,a,1.94688,14020
mergesort,100000,aleatorio,D1,a,4.04434,14020
quicksort,100000,aleatorio,D1,a,3.12182,14020
patiencesort,100000,aleatorio,D1,a,3.73174,14020
std_sort,100000,aleatorio,D1,b,1.80581,14020
mergesort,100000,aleatorio,D1,b,4.45697,14020
quicksort,100000,aleatorio,D1,b,3.20095,14020
patiencesort,100000,aleatorio,D1,b,3.53402,14020
std_sort,100000,aleatorio,D1,c,1.97496,14020
mergesort,100000,aleatorio,D1,c,3.95886,14020
quicksort,100000,aleatorio,D1,c,2.55925,14020
patiencesort,100000,aleatorio,D1,c,3.42695,14020
std_sort,100000,aleatorio,D7,a,4.69924,14020
mergesort,100000,aleatorio,D7,a,6.99421,14020
quicksort,100000,aleatorio,D7,a,7.83147,14020
patiencesort,100000,aleatorio,D7,a,10.9365,14020
std_sort,100000,aleatorio,D7,b,4.75728,14020
mergesort,100000,aleatorio,D7,b,6.96544,14020
quicksort,100000,aleatorio,D7,b,7.23747,14020
patiencesort,100000,aleatorio,D7,b,10.5595,14020
std_sort,100000,aleatorio,D7,c,4.94459,14020
mergesort,100000,aleatorio,D7,c,6.96663,14020
quicksort,100000,aleatorio,D7,c,7.22518,14020
patiencesort,100000,aleatorio,D7,c,9.12653,14020
std_sort,10000000,ascendente,D1,a,149.257,125196
mergesort,10000000,ascendente,D1,a,288.028,125296
quicksort,10000000,ascendente,D1,a,186.798,125296
patiencesort,10000000,ascendente,D1,a,279.282,203224
std_sort,10000000,ascendente,D1,b,137.256,203224
mergesort,10000000,ascendente,D1,b,281.294,203224
quicksort,10000000,ascendente,D1,b,196.774,203224
patiencesort,10000000,ascendente,D1,b,270.14,204680
std_sort,10000000,ascendente,D1,c,118.163,204680
mergesort,10000000,ascendente,D1,c,276.432,204680
quicksort,10000000,ascendente,D1,c,185.729,204680
patiencesort,10000000,ascendente,D1,c,266.224,204680
std_sort,10000000,ascendente,D7,a,190.84,204680
mergesort,10000000,ascendente,D7,a,279.049,204680
quicksort,10000000,ascendente,D7,a,341.191,204680
patiencesort,10000000,ascendente,D7,a,1785.95,662040
std_sort,10000000,ascendente,D7,b,147.885,662040
mergesort,10000000,ascendente,D7,b,241.218,662040
quicksort,10000000,ascendente,D7,b,322.42,662040
patiencesort,10000000,ascendente,D7,b,1715.1,688472
std_sort,10000000,ascendente,D7,c,149.204,688472
mergesort,10000000,ascendente,D7,c,239.012,688472
quicksort,10000000,ascendente,D7,c,321.924,688472
patiencesort,10000000,ascendente,D7,c,1619.94,696760
std_sort,10000000,descendente,D1,a,110.514,696760
mergesort,10000000,descendente,D1,a,259.942,696760
quicksort,10000000,descendente,D1,a,167.298,696760
patiencesort,10000000,descendente,D1,a,189.152,696760
std_sort,10000000,descendente,D1,b,108.315,696760
mergesort,10000000,descendente,D1,b,252.09,696760
quicksort,10000000,descendente,D1,b,164.635,696760
patiencesort,10000000,descendente,D1,b,188.839,696760
std_sort,10000000,descendente,D1,c,108.518,696760
mergesort,10000000,descendente,D1,c,255.439,696760
quicksort,10000000,descendente,D1,c,165.938,696760
patiencesort,10000000,descendente,D1,c,189.286,696760
std_sort,10000000,descendente,D7,a,143.322,696760
mergesort,10000000,descendente,D7,a,287.868,696760
quicksort,10000000,descendente,D7,a,324.015,696760
patiencesort,10000000,descendente,D7,a,189.112,696760
std_sort,10000000,descendente,D7,b,157.837,696760
mergesort,10000000,descendente,D7,b,288.819,696760
quicksort,10000000,descendente,D7,b,321.99,696760
patiencesort,10000000,descendente,D7,b,189.632,696760
std_sort,10000000,descendente,D7,c,148.193,696760
mergesort,10000000,descendente,D7,c,287.608,696760
quicksort,10000000,descendente,D7,c,326.297,696760
patiencesort,10000000,descendente,D7,c,189.553,696760
std_sort,10000000,aleatorio,D1,a,205.136,696760
mergesort,10000000,aleatorio,D1,a,479.301,696760
quicksort,10000000,aleatorio,D1,a,288.412,696760
patiencesort,10000000,aleatorio,D1,a,347.503,696760
std_sort,10000000,aleatorio,D1,b,204.981,696760
mergesort,10000000,aleatorio,D1,b,484.091,696760
quicksort,10000000,aleatorio,D1,b,275.012,696760
patiencesort,10000000,aleatorio,D1,b,323.809,696760
std_sort,10000000,aleatorio,D1,c,201.429,696760
mergesort,10000000,aleatorio,D1,c,485.159,696760
quicksort,10000000,aleatorio,D1,c,285.623,696760
patiencesort,10000000,aleatorio,D1,c,326.441,696760
std_sort,10000000,aleatorio,D7,a,638.679,696760
mergesort,10000000,aleatorio,D7,a,975.345,696760
quicksort,10000000,aleatorio,D7,a,851.991,696760
patiencesort,10000000,aleatorio,D7,a,1286.89,696760
std_sort,10000000,aleatorio,D7,b,636.276,696760
mergesort,10000000,aleatorio,D7,b,958.109,696760
quicksort,10000000,aleatorio,D7,b,851.359,696760
patiencesort,10000000,aleatorio,D7,b,1320.49,696760
std_sort,10000000,aleatorio,D7,c,631.898,696760
mergesort,10000000,aleatorio,D7,c,965.121,696760
quicksort,10000000,aleatorio,D7,c,849.19,696760
patiencesort,10000000,aleatorio,D7,c,1410.31,696760
